MPC ID,Securely Classified,Class,a_i,a_f,a_min,a_mean,a_max,a_sigma,a_delta,adot_min,adot_mean,adot_max,adot_delta,e_i,e_f,e_min,e_mean,e_max,e_sigma,e_delta,edot_min,edot_mean,edot_max,edot_delta,i_i,i_f,i_min,i_mean,i_max,i_sigma,i_delta,idot_min,idot_mean,idot_max,idot_delta,Om_i,Om_f,Om_min,Om_mean,Om_max,Om_sigma,Om_delta,Omdot_min,Omdot_mean,Omdot_max,Omdot_delta,o_i,o_f,o_min,o_mean,o_max,o_sigma,o_delta,odot_min,odot_mean,odot_max,odot_delta
K13GD8B, True, Classical,4.297600e+01,4.297700e+01,4.297300e+01,4.297864e+01,4.298500e+01,3.185935e-03,1.200000e-02,-9.000000e-06,1.000200e-08,8.000000e-06,1.700000e-05,4.998400e-02,5.178000e-02,4.998400e-02,5.089368e-02,5.178000e-02,4.136645e-04,1.796000e-03,-8.010000e-07,1.796051e-08,7.440000e-07,1.545000e-06,2.786900e+00,3.097100e+00,2.786900e+00,2.942509e+00,3.097100e+00,8.992811e-02,3.102000e-01,1.300000e-06,3.101987e-06,4.899020e-06,3.599020e-06,1.825600e+02,1.738300e+02,1.738300e+02,1.781323e+02,1.825600e+02,2.546756e+00,8.730000e+00,-1.200000e-04,-8.729984e-05,-5.000000e-05,7.000000e-05,1.885200e+02,2.095700e+02,1.885200e+02,1.991397e+02,2.095700e+02,6.140541e+00,2.105000e+01,-6.700000e-04,2.105027e-04,1.190000e-03,1.860000e-03
K13GD6P,False,  Detached,1.502200e+02,1.503100e+02,1.500300e+02,1.502305e+02,1.503700e+02,7.321981e-02,3.400000e-01,-1.600000e-04,8.998600e-07,1.700000e-04,3.300000e-04,7.268400e-01,7.270600e-01,7.265200e-01,7.268942e-01,7.271900e-01,1.380290e-04,6.700000e-04,-3.100000e-07,2.199810e-09,3.100000e-07,6.200000e-07,3.353900e+01,3.353500e+01,3.353400e+01,3.353696e+01,3.354100e+01,1.289107e-03,7.000000e-03,-3.000000e-06,-3.999500e-08,2.000000e-06,5.000000e-06,2.107300e+02,2.104100e+02,2.104100e+02,2.105661e+02,2.107300e+02,9.403991e-02,3.200000e-01,-1.000000e-05,-3.199960e-06,1.000000e-05,2.000000e-05,4.258500e+01,4.303400e+01,4.258500e+01,4.281559e+01,4.303400e+01,1.298474e-01,4.490000e-01,-4.000000e-06,4.489902e-06,3.700000e-05,4.100000e-05
K13GD8E, True, Classical,4.416600e+01,4.416400e+01,4.415300e+01,4.416247e+01,4.416700e+01,3.078396e-03,1.400000e-02,-1.100000e-05,-1.999700e-08,1.000000e-05,2.100000e-05,5.305200e-02,5.259700e-02,5.239200e-02,5.267259e-02,5.309500e-02,1.765179e-04,7.030000e-04,-4.610000e-07,-4.550046e-09,5.120000e-07,9.730000e-07,3.068800e+00,2.758100e+00,2.758100e+00,2.915132e+00,3.068800e+00,9.070527e-02,3.107000e-01,-4.600000e-06,-3.106996e-06,-1.799820e-06,2.800180e-06,3.155200e+01,1.982500e+01,1.982500e+01,2.582831e+01,3.155200e+01,3.412930e+00,1.172700e+01,-1.550000e-04,-1.172701e-04,-7.800000e-05,7.700000e-05,5.657700e+01,7.800800e+01,5.656700e+01,6.685436e+01,7.800800e+01,6.216302e+00,2.144100e+01,-3.770000e-04,2.143113e-04,7.110000e-04,1.088000e-03
K13GD7K, True,  Resonant,3.917000e+01,3.964800e+01,3.911300e+01,3.940714e+01,3.969700e+01,2.160824e-01,5.840000e-01,-1.640000e-04,4.779693e-06,1.700000e-04,3.340000e-04,1.785700e-01,1.863900e-01,1.742300e-01,1.825999e-01,1.899600e-01,5.097355e-03,1.573000e-02,-3.920000e-06,7.819270e-08,3.900000e-06,7.820000e-06,9.878100e+00,9.556400e+00,9.556400e+00,9.726359e+00,9.878100e+00,8.653991e-02,3.217000e-01,-1.240000e-05,-3.216985e-06,7.200000e-06,1.960000e-05,4.499000e+01,2.915900e+01,2.915900e+01,3.717312e+01,4.499000e+01,4.534286e+00,1.583100e+01,-3.040000e-04,-1.583099e-04,-7.400000e-05,2.300000e-04,1.214800e+01,1.076200e+01,1.024800e+01,1.142930e+01,1.260600e+01,6.369132e-01,2.358000e+00,-2.860000e-04,-1.385999e-05,4.240000e-04,7.100000e-04
K13GD7V, True, Classical,4.379200e+01,4.380700e+01,4.376500e+01,4.378904e+01,4.380700e+01,7.748421e-03,4.200000e-02,-1.600000e-05,1.499900e-07,1.600000e-05,3.200000e-05,8.292400e-02,8.478200e-02,8.245400e-02,8.332287e-02,8.478200e-02,5.015005e-04,2.328000e-03,-7.620000e-07,1.857827e-08,8.130000e-07,1.575000e-06,3.195800e+00,2.913700e+00,2.913700e+00,3.059013e+00,3.195800e+00,8.233561e-02,2.821000e-01,-4.400000e-06,-2.820996e-06,-1.500000e-06,2.900000e-06,6.979800e+01,6.121400e+01,6.121400e+01,6.555102e+01,6.979800e+01,2.508053e+00,8.584000e+00,-1.170000e-04,-8.583991e-05,-5.401080e-05,6.298920e-05,2.905100e+02,3.111100e+02,2.904900e+02,3.006590e+02,3.111100e+02,6.095176e+00,2.062000e+01,-2.900000e-04,2.059994e-04,6.700000e-04,9.600000e-04
K13GD8G, True, Classical,4.745900e+01,4.745300e+01,4.745200e+01,4.747123e+01,4.749100e+01,1.048609e-02,3.900000e-02,-1.100000e-05,-5.998701e-08,1.000000e-05,2.100000e-05,2.785700e-02,2.766200e-02,2.748600e-02,2.807247e-02,2.893900e-02,3.884120e-04,1.453000e-03,-3.650000e-07,-1.949859e-09,2.630000e-07,6.280000e-07,2.460800e+01,2.474900e+01,2.460800e+01,2.468250e+01,2.475500e+01,4.075515e-02,1.470000e-01,-5.000000e-06,1.409996e-06,9.000000e-06,1.400000e-05,2.152000e+02,2.101400e+02,2.101400e+02,2.126686e+02,2.152000e+02,1.474571e+00,5.060000e+00,-7.000000e-05,-5.060001e-05,-3.999200e-05,3.000800e-05,1.411600e+02,1.489200e+02,1.404200e+02,1.447241e+02,1.499100e+02,2.464005e+00,9.490000e+00,-5.300000e-04,7.759994e-05,8.200000e-04,1.350000e-03
K13GD6Q, True, Classical,4.872600e+01,4.870400e+01,4.867100e+01,4.871638e+01,4.873600e+01,1.490621e-02,6.500000e-02,-5.700000e-05,-2.199250e-07,5.900000e-05,1.160000e-04,1.733100e-01,1.733100e-01,1.719500e-01,1.733831e-01,1.741900e-01,4.759789e-04,2.240000e-03,-1.530000e-06,2.100008e-12,1.670000e-06,3.200000e-06,2.029700e+00,2.261600e+00,2.029700e+00,2.145535e+00,2.261600e+00,6.787894e-02,2.319000e-01,9.000000e-07,2.318990e-06,6.900000e-06,6.000000e-06,2.033700e+02,1.968700e+02,1.968700e+02,2.000311e+02,2.033700e+02,1.897566e+00,6.500000e+00,-1.500000e-04,-6.499994e-05,-3.000000e-05,1.200000e-04,1.570900e+02,1.710500e+02,1.570100e+02,1.642915e+02,1.711100e+02,4.159479e+00,1.410000e+01,-1.600000e-04,1.395985e-04,7.700000e-04,9.300000e-04
K13GD6S, True,  Resonant,5.562400e+01,5.530300e+01,5.511600e+01,5.537512e+01,5.566100e+01,1.993082e-01,5.450000e-01,-1.300260e-04,-3.210049e-06,1.560000e-04,2.860260e-04,3.854500e-01,3.815400e-01,3.794700e-01,3.824568e-01,3.856700e-01,2.248925e-03,6.200000e-03,-1.410282e-06,-3.910033e-08,1.690000e-06,3.100282e-06,6.978100e+00,6.899900e+00,6.899900e+00,6.940731e+00,6.978300e+00,2.371972e-02,7.840000e-02,-3.300000e-06,-7.820006e-07,6.000000e-07,3.900000e-06,4.456500e+01,4.035400e+01,4.035400e+01,4.245055e+01,4.456500e+01,1.221906e+00,4.211000e+00,-8.500000e-05,-4.211006e-05,-2.700000e-05,5.800000e-05,1.973100e+02,2.000500e+02,1.973100e+02,1.987198e+02,2.000500e+02,7.949668e-01,2.740000e+00,-1.000200e-05,2.740015e-05,1.000000e-04,1.100020e-04
K13HF6R, True,  Resonant,4.571900e+01,4.571300e+01,4.570700e+01,4.572119e+01,4.575800e+01,1.211309e-02,5.100000e-02,-3.400000e-05,-5.999400e-08,3.700000e-05,7.100000e-05,1.884100e-01,1.889300e-01,1.882100e-01,1.888059e-01,1.897000e-01,3.199232e-04,1.490000e-03,-7.500000e-07,5.198960e-09,8.200000e-07,1.570000e-06,2.041200e+01,2.059700e+01,2.041200e+01,2.050305e+01,2.059700e+01,5.382781e-02,1.850000e-01,-4.000000e-06,1.849993e-06,7.000000e-06,1.100000e-05,2.141700e+02,2.067600e+02,2.067600e+02,2.104589e+02,2.141700e+02,2.153253e+00,7.410000e+00,-1.100000e-04,-7.409982e-05,-4.000000e-05,7.000000e-05,3.306000e+02,3.390400e+02,3.306000e+02,3.348094e+02,3.390400e+02,2.450534e+00,8.440000e+00,-4.000000e-05,8.439963e-05,1.700000e-04,2.100000e-04
K13GD7M, True, Classical,4.410100e+01,4.409600e+01,4.409300e+01,4.410108e+01,4.410900e+01,3.633407e-03,1.600000e-02,-1.100000e-05,-4.994100e-08,9.000000e-06,2.000000e-05,7.557400e-02,7.437500e-02,7.437500e-02,7.505106e-02,7.567200e-02,3.208598e-04,1.297000e-03,-4.410000e-07,-1.198946e-08,2.690000e-07,7.100000e-07,2.246100e+01,2.226400e+01,2.226400e+01,2.236487e+01,2.246100e+01,5.714454e-02,1.970000e-01,-6.000000e-06,-1.969977e-06,3.000000e-06,9.000000e-06,3.246700e+01,2.515200e+01,2.515200e+01,2.881679e+01,3.246700e+01,2.131283e+00,7.315000e+00,-8.500000e-05,-7.315003e-05,-5.700000e-05,2.800000e-05,1.026800e+02,1.136300e+02,1.026800e+02,1.081653e+02,1.136300e+02,3.157430e+00,1.095000e+01,-1.600000e-04,1.095010e-04,3.400000e-04,5.000000e-04
